data;Tmedia;Tmax;Tmin;chuva
01/06/1979;7.6;17.5;2.2;0.0
02/06/1979;13.5;21.5;6.6;0.0
03/06/1979;18.7;28.3;11.1;0.0
04/06/1979;21.3;30.3;13.3;0.0
05/06/1979;21.4;29.6;15.2;0.0
06/06/1979;21.2;28.1;17.3;0.0
07/06/1979;22.0;29.3;15.8;0.0
08/06/1979;18.9;25.4;17.2;0.0
09/06/1979;18.4;24.6;14.7;0.0
10/06/1979;14.3;25.9;10.7;0.0
11/06/1979;19.9;28.9;13.7;0.0
12/06/1979;16.2;29.0;13.6;0.0
13/06/1979;20.7;27.0;18.8;0.0
14/06/1979;11.8;19.4;7.9;1.8
15/06/1979;11.8;19.7;4.7;0.0
16/06/1979;17.2;25.3;9.6;0.0
17/06/1979;20.0;27.3;14.6;0.0
18/06/1979;21.0;27.9;17.6;0.0
19/06/1979;19.3;27.6;13.7;0.0
20/06/1979;19.3;27.5;13.4;0.0
21/06/1979;18.8;27.7;12.0;0.0
22/06/1979;19.1;28.2;12.3;0.0
23/06/1979;19.2;28.4;12.5;0.0
24/06/1979;16.7;26.2;12.9;0.0
25/06/1979;11.9;14.1;10.5;0.8
26/06/1979;12.5;17.4;7.9;0.1
27/06/1979;17.1;27.4;8.4;0.1
28/06/1979;13.7;26.2;8.5;0.0
29/06/1979;18.1;26.4;11.1;0.0
30/06/1979;20.1;28.6;14.6;0.0
01/07/1979;20.9;30.2;14.8;0.0
02/07/1979;18.6;26.4;15.8;0.0
03/07/1979;16.3;18.8;14.1;61.0
04/07/1979;16.6;19.8;13.4;0.0
05/07/1979;20.3;25.3;17.0;0.3
06/07/1979;21.8;28.1;17.6;0.0
07/07/1979;22.1;28.9;17.6;0.0
08/07/1979;19.7;26.4;15.1;0.0
09/07/1979;16.1;18.6;15.3;30.1
10/07/1979;16.9;20.6;14.6;0.2
11/07/1979;15.3;21.6;11.6;0.0
12/07/1979;14.8;22.3;10.2;0.0
13/07/1979;16.5;24.3;9.8;0.0
14/07/1979;16.9;23.7;11.1;0.0
